"Antal lägenheter efter region, upplåtelseform och år"

"region","upplåtelseform","2022"
"0126C1220","hyresrätt",839
"0126C1220","bostadsrätt",273
"0126C1220","äganderätt",29
"0126C1220","uppgift saknas",0
"0126C1230","hyresrätt",382
"0126C1230","bostadsrätt",902
"0126C1230","äganderätt",54
"0126C1230","uppgift saknas",0
"0126C1240","hyresrätt",6
"0126C1240","bostadsrätt",6
"0126C1240","äganderätt",506
"0126C1240","uppgift saknas",0
"0126C1250","hyresrätt",115
"0126C1250","bostadsrätt",835
"0126C1250","äganderätt",55
"0126C1250","uppgift saknas",0
"0126C1260","hyresrätt",27
"0126C1260","bostadsrätt",591
"0126C1260","äganderätt",439
"0126C1260","uppgift saknas",0
"0126C1270","hyresrätt",2
"0126C1270","bostadsrätt",109
"0126C1270","äganderätt",311
"0126C1270","uppgift saknas",0
"0126C1280","hyresrätt",146
"0126C1280","bostadsrätt",871
"0126C1280","äganderätt",75
"0126C1280","uppgift saknas",0
"0126C1290","hyresrätt",10
"0126C1290","bostadsrätt",0
"0126C1290","äganderätt",735
"0126C1290","uppgift saknas",0
"0126C1300","hyresrätt",961
"0126C1300","bostadsrätt",286
"0126C1300","äganderätt",0
"0126C1300","uppgift saknas",0
"0126C1310","hyresrätt",88
"0126C1310","bostadsrätt",104
"0126C1310","äganderätt",711
"0126C1310","uppgift saknas",0
"0126C1320","hyresrätt",641
"0126C1320","bostadsrätt",365
"0126C1320","äganderätt",0
"0126C1320","uppgift saknas",0
"0126C1330","hyresrätt",227
"0126C1330","bostadsrätt",87
"0126C1330","äganderätt",502
"0126C1330","uppgift saknas",0
"0126C1340","hyresrätt",196
"0126C1340","bostadsrätt",640
"0126C1340","äganderätt",5
"0126C1340","uppgift saknas",0
"0126C1350","hyresrätt",13
"0126C1350","bostadsrätt",216
"0126C1350","äganderätt",493
"0126C1350","uppgift saknas",0
"0126C1360","hyresrätt",13
"0126C1360","bostadsrätt",19
"0126C1360","äganderätt",660
"0126C1360","uppgift saknas",0
"0126C1370","hyresrätt",70
"0126C1370","bostadsrätt",416
"0126C1370","äganderätt",9
"0126C1370","uppgift saknas",0
"0126C1380","hyresrätt",3
"0126C1380","bostadsrätt",6
"0126C1380","äganderätt",309
"0126C1380","uppgift saknas",0
"0126C1390","hyresrätt",68
"0126C1390","bostadsrätt",0
"0126C1390","äganderätt",657
"0126C1390","uppgift saknas",0
"0126C1400","hyresrätt",74
"0126C1400","bostadsrätt",0
"0126C1400","äganderätt",475
"0126C1400","uppgift saknas",0
"0126C1410","hyresrätt",149
"0126C1410","bostadsrätt",387
"0126C1410","äganderätt",324
"0126C1410","uppgift saknas",0
"0126C1420","hyresrätt",842
"0126C1420","bostadsrätt",110
"0126C1420","äganderätt",9
"0126C1420","uppgift saknas",0
"0126C1430","hyresrätt",2
"0126C1430","bostadsrätt",16
"0126C1430","äganderätt",427
"0126C1430","uppgift saknas",0
"0126C1440","hyresrätt",0
"0126C1440","bostadsrätt",34
"0126C1440","äganderätt",400
"0126C1440","uppgift saknas",0
"0126C1450","hyresrätt",4
"0126C1450","bostadsrätt",9
"0126C1450","äganderätt",324
"0126C1450","uppgift saknas",0
"0126C1460","hyresrätt",17
"0126C1460","bostadsrätt",335
"0126C1460","äganderätt",690
"0126C1460","uppgift saknas",0
"0126C1470","hyresrätt",7
"0126C1470","bostadsrätt",65
"0126C1470","äganderätt",469
"0126C1470","uppgift saknas",0
"0126C1480","hyresrätt",115
"0126C1480","bostadsrätt",0
"0126C1480","äganderätt",589
"0126C1480","uppgift saknas",0
"0126C1490","hyresrätt",2
"0126C1490","bostadsrätt",265
"0126C1490","äganderätt",41
"0126C1490","uppgift saknas",0
"0126C1500","hyresrätt",1
"0126C1500","bostadsrätt",166
"0126C1500","äganderätt",465
"0126C1500","uppgift saknas",0
"0126C1510","hyresrätt",797
"0126C1510","bostadsrätt",9
"0126C1510","äganderätt",28
"0126C1510","uppgift saknas",0
"0126C1520","hyresrätt",486
"0126C1520","bostadsrätt",0
"0126C1520","äganderätt",0
"0126C1520","uppgift saknas",0
"0126C1530","hyresrätt",88
"0126C1530","bostadsrätt",76
"0126C1530","äganderätt",623
"0126C1530","uppgift saknas",0
"0126C1540","hyresrätt",415
"0126C1540","bostadsrätt",0
"0126C1540","äganderätt",0
"0126C1540","uppgift saknas",0
"0126C1550","hyresrätt",695
"0126C1550","bostadsrätt",397
"0126C1550","äganderätt",0
"0126C1550","uppgift saknas",0
"0126C1560","hyresrätt",5
"0126C1560","bostadsrätt",108
"0126C1560","äganderätt",482
"0126C1560","uppgift saknas",0
"0126C1570","hyresrätt",5
"0126C1570","bostadsrätt",490
"0126C1570","äganderätt",140
"0126C1570","uppgift saknas",0
"0126C1580","hyresrätt",67
"0126C1580","bostadsrätt",22
"0126C1580","äganderätt",542
"0126C1580","uppgift saknas",0
"0126C1590","hyresrätt",72
"0126C1590","bostadsrätt",231
"0126C1590","äganderätt",431
"0126C1590","uppgift saknas",0
"0127A0010","hyresrätt",110
"0127A0010","bostadsrätt",1
"0127A0010","äganderätt",748
"0127A0010","uppgift saknas",0
"0127A0020","hyresrätt",64
"0127A0020","bostadsrätt",367
"0127A0020","äganderätt",221
"0127A0020","uppgift saknas",0
"0127C1010","hyresrätt",17
